#    L    TT             EE             BB             TE             PP             TP             EP          
    55    0.15342E+04    0.16118E+00    0.00000E+00   -0.47918E+00    0.13521E-06    0.73293E-03   -0.14317E-05
    56    0.15552E+04    0.17064E+00    0.00000E+00   -0.73636E+00    0.13460E-06    0.71959E-03   -0.14035E-05
    57    0.15765E+04    0.18026E+00    0.00000E+00   -0.10059E+01    0.13398E-06    0.70661E-03   -0.13616E-05
    58    0.15980E+04    0.19006E+00    0.00000E+00   -0.12884E+01    0.13336E-06    0.69400E-03   -0.13183E-05
    59    0.16197E+04    0.20006E+00    0.00000E+00   -0.15843E+01    0.13272E-06    0.68176E-03   -0.12864E-05
    60    0.16416E+04    0.21032E+00    0.00000E+00   -0.18927E+01    0.13207E-06    0.66991E-03   -0.12782E-05
    61    0.16639E+04    0.22093E+00    0.00000E+00   -0.22126E+01    0.13142E-06    0.65843E-03   -0.13018E-05
    62    0.16862E+04    0.23189E+00    0.00000E+00   -0.25451E+01    0.13075E-06    0.64732E-03   -0.13481E-05
    63    0.17085E+04    0.24314E+00    0.00000E+00   -0.28914E+01    0.13009E-06    0.63653E-03   -0.14034E-05
    64    0.17313E+04    0.25470E+00    0.00000E+00   -0.32529E+01    0.12941E-06    0.62603E-03   -0.14541E-05
    65    0.17541E+04    0.26655E+00    0.00000E+00   -0.36306E+01    0.12874E-06    0.61581E-03   -0.14868E-05
    66    0.17772E+04    0.27862E+00    0.00000E+00   -0.40227E+01    0.12805E-06    0.60583E-03   -0.14918E-05
    67    0.18005E+04    0.29090E+00    0.00000E+00   -0.44267E+01    0.12737E-06    0.59608E-03   -0.14752E-05
    68    0.18243E+04    0.30345E+00    0.00000E+00   -0.48412E+01    0.12668E-06    0.58659E-03   -0.14472E-05
    69    0.18482E+04    0.31621E+00    0.00000E+00   -0.52645E+01    0.12599E-06    0.57733E-03   -0.14177E-05
    70    0.18725E+04    0.32924E+00    0.00000E+00   -0.56986E+01    0.12529E-06    0.56832E-03   -0.13968E-05
    71    0.18969E+04    0.34251E+00    0.00000E+00   -0.61458E+01    0.12460E-06    0.55956E-03   -0.13921E-05
    72    0.19215E+04    0.35600E+00    0.00000E+00   -0.66072E+01    0.12390E-06    0.55103E-03   -0.14013E-05
    73    0.19462E+04    0.36968E+00    0.00000E+00   -0.70827E+01    0.12320E-06    0.54273E-03   -0.14198E-05
    74    0.19711E+04    0.38353E+00    0.00000E+00   -0.75709E+01    0.12250E-06    0.53464E-03   -0.14430E-05
    75    0.19963E+04    0.39757E+00    0.00000E+00   -0.80698E+01    0.12180E-06    0.52676E-03   -0.14661E-05
    76    0.20216E+04    0.41179E+00    0.00000E+00   -0.85784E+01    0.12110E-06    0.51906E-03   -0.14854E-05
    77    0.20473E+04    0.42618E+00    0.00000E+00   -0.90967E+01    0.12039E-06    0.51154E-03   -0.14998E-05
    78    0.20732E+04    0.44078E+00    0.00000E+00   -0.96267E+01    0.11969E-06    0.50419E-03   -0.15091E-05
    79    0.20994E+04    0.45553E+00    0.00000E+00   -0.10165E+02    0.11899E-06    0.49702E-03   -0.15132E-05
    80    0.21258E+04    0.47043E+00    0.00000E+00   -0.10713E+02    0.11829E-06    0.49000E-03   -0.15118E-05
