#    L    TT             EE             BB             TE          
    91    0.25123E+04    0.66079E+00    0.27339E-02   -0.17879E+02
    92    0.25427E+04    0.67686E+00    0.28035E-02   -0.18537E+02
    93    0.25735E+04    0.69291E+00    0.28736E-02   -0.19201E+02
    94    0.26043E+04    0.70890E+00    0.29391E-02   -0.19868E+02
    95    0.26354E+04    0.72483E+00    0.30001E-02   -0.20540E+02
    96    0.26666E+04    0.74069E+00    0.30614E-02   -0.21215E+02
    97    0.26982E+04    0.75645E+00    0.31298E-02   -0.21893E+02
    98    0.27300E+04    0.77211E+00    0.32035E-02   -0.22572E+02
    99    0.27619E+04    0.78764E+00    0.32729E-02   -0.23255E+02
   100    0.27940E+04    0.80303E+00    0.33435E-02   -0.23936E+02
   101    0.28264E+04    0.81833E+00    0.34239E-02   -0.24620E+02
   102    0.28592E+04    0.83341E+00    0.35004E-02   -0.25304E+02
   103    0.28920E+04    0.84834E+00    0.35679E-02   -0.25989E+02
   104    0.29250E+04    0.86312E+00    0.36416E-02   -0.26671E+02
   105    0.29582E+04    0.87765E+00    0.37208E-02   -0.27353E+02
   106    0.29916E+04    0.89204E+00    0.37912E-02   -0.28033E+02
   107    0.30250E+04    0.90612E+00    0.38625E-02   -0.28710E+02
   108    0.30587E+04    0.91997E+00    0.39393E-02   -0.29384E+02
   109    0.30926E+04    0.93350E+00    0.40215E-02   -0.30055E+02
   110    0.31265E+04    0.94672E+00    0.41045E-02   -0.30720E+02
   111    0.31606E+04    0.95971E+00    0.41833E-02   -0.31382E+02
   112    0.31949E+04    0.97238E+00    0.42629E-02   -0.32039E+02
   113    0.32294E+04    0.98475E+00    0.43437E-02   -0.32690E+02
   114    0.32640E+04    0.99673E+00    0.44206E-02   -0.33334E+02
   115    0.32988E+04    0.10085E+01    0.45040E-02   -0.33971E+02
   116    0.33336E+04    0.10197E+01    0.45839E-02   -0.34600E+02
   117    0.33688E+04    0.10306E+01    0.46683E-02   -0.35221E+02
   118    0.34041E+04    0.10413E+01    0.47582E-02   -0.35835E+02
   119    0.34394E+04    0.10515E+01    0.48401E-02   -0.36438E+02
   120    0.34748E+04    0.10612E+01    0.49279E-02   -0.37031E+02
   121    0.35103E+04    0.10707E+01    0.50166E-02   -0.37614E+02
   122    0.35458E+04    0.10796E+01    0.51020E-02   -0.38186E+02
   123    0.35814E+04    0.10881E+01    0.51925E-02   -0.38747E+02
   124    0.36171E+04    0.10962E+01    0.52835E-02   -0.39294E+02
   125    0.36528E+04    0.11038E+01    0.53795E-02   -0.39828E+02
   126    0.36886E+04    0.11110E+01    0.54723E-02   -0.40351E+02
