#    L    TT             EE             TE             PP             TP          
    75    0.19963E+04    0.39757E+00   -0.80698E+01    0.55361E+07    0.88431E+04
    76    0.20216E+04    0.41179E+00   -0.85784E+01    0.55062E+07    0.87161E+04
    77    0.20473E+04    0.42618E+00   -0.90967E+01    0.54761E+07    0.85921E+04
    78    0.20732E+04    0.44078E+00   -0.96267E+01    0.54460E+07    0.84708E+04
    79    0.20994E+04    0.45553E+00   -0.10165E+02    0.54159E+07    0.83522E+04
    80    0.21258E+04    0.47043E+00   -0.10713E+02    0.53857E+07    0.82363E+04
    81    0.21525E+04    0.48543E+00   -0.11273E+02    0.53555E+07    0.81228E+04
    82    0.21795E+04    0.50056E+00   -0.11843E+02    0.53254E+07    0.80118E+04
    83    0.22067E+04    0.51579E+00   -0.12422E+02    0.52952E+07    0.79033E+04
    84    0.22342E+04    0.53110E+00   -0.13008E+02    0.52651E+07    0.77972E+04
    85    0.22618E+04    0.54648E+00   -0.13603E+02    0.52350E+07    0.76936E+04
    86    0.22896E+04    0.56193E+00   -0.14205E+02    0.52049E+07    0.75925E+04
    87    0.23179E+04    0.57742E+00   -0.14814E+02    0.51750E+07    0.74936E+04
    88    0.23461E+04    0.59298E+00   -0.15429E+02    0.51451E+07    0.73969E+04
    89    0.23747E+04    0.60858E+00   -0.16052E+02    0.51152E+07    0.73023E+04
    90    0.24036E+04    0.62418E+00   -0.16681E+02    0.50855E+07    0.72097E+04
    91    0.24325E+04    0.63979E+00   -0.17315E+02    0.50558E+07    0.71188E+04
    92    0.24618E+04    0.65538E+00   -0.17954E+02    0.50262E+07    0.70298E+04
    93    0.24914E+04    0.67094E+00   -0.18598E+02    0.49967E+07    0.69424E+04
    94    0.25211E+04    0.68645E+00   -0.19247E+02    0.49674E+07    0.68568E+04
    95    0.25510E+04    0.70190E+00   -0.19899E+02    0.49381E+07    0.67728E+04
    96    0.25810E+04    0.71727E+00   -0.20555E+02    0.49089E+07    0.66905E+04
    97    0.26114E+04    0.73255E+00   -0.21214E+02    0.48799E+07    0.66098E+04
    98    0.26420E+04    0.74774E+00   -0.21874E+02    0.48509E+07    0.65306E+04
    99    0.26727E+04    0.76279E+00   -0.22537E+02    0.48221E+07    0.64529E+04
   100    0.27037E+04    0.77770E+00   -0.23200E+02    0.47935E+07    0.63768E+04
   101    0.27348E+04    0.79253E+00   -0.23865E+02    0.47649E+07    0.63021E+04
   102    0.27665E+04    0.80715E+00   -0.24530E+02    0.47365E+07    0.62288E+04
   103    0.27981E+04    0.82160E+00   -0.25196E+02    0.47082E+07    0.61569E+04
   104    0.28300E+04    0.83591E+00   -0.25860E+02    0.46801E+07    0.60863E+04
   105    0.28619E+04    0.85000E+00   -0.26523E+02    0.46521E+07    0.60170E+04
   106    0.28941E+04    0.86393E+00   -0.27184E+02    0.46243E+07    0.59491E+04
   107    0.29263E+04    0.87756E+00   -0.27843E+02    0.45967E+07    0.58823E+04
   108    0.29588E+04    0.89096E+00   -0.28500E+02    0.45692E+07    0.58168E+04
   109    0.29915E+04    0.90406E+00   -0.29153E+02    0.45418E+07    0.57524E+04
   110    0.30242E+04    0.91686E+00   -0.29800E+02    0.45146E+07    0.56892E+04
   111    0.30571E+04    0.92944E+00   -0.30445E+02    0.44876E+07    0.56271E+04
   112    0.30902E+04    0.94171E+00   -0.31085E+02    0.44608E+07    0.55660E+04
   113    0.31235E+04    0.95368E+00   -0.31719E+02    0.44342E+07    0.55060E+04
   114    0.31568E+04    0.96527E+00   -0.32346E+02    0.44077E+07    0.54470E+04
   115    0.31904E+04    0.97664E+00   -0.32967E+02    0.43814E+07    0.53891E+04
   116    0.32240E+04    0.98755E+00   -0.33580E+02    0.43553E+07    0.53321E+04
   117    0.32579E+04    0.99809E+00   -0.34185E+02    0.43293E+07    0.52761E+04
   118    0.32920E+04    0.10084E+01   -0.34783E+02    0.43035E+07    0.52210E+04
   119    0.33260E+04    0.10183E+01   -0.35371E+02    0.42779E+07    0.51669E+04
   120    0.33602E+04    0.10277E+01   -0.35949E+02    0.42525E+07    0.51136E+04
   121    0.33944E+04    0.10369E+01   -0.36517E+02    0.42273E+07    0.50612E+04
   122    0.34287E+04    0.10455E+01   -0.37074E+02    0.42022E+07    0.50097E+04
