#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43    0.13287E+04    0.15870E+01    0.21752E-04    0.15870E+01    0.74973E-01   -0.25258E-07    0.21752E-04   -0.25258E-07    0.75749E-10
    44    0.13482E+04    0.14821E+01    0.20814E-04    0.14821E+01    0.80893E-01   -0.24784E-07    0.20814E-04   -0.24784E-07    0.72185E-10
    45    0.13681E+04    0.13639E+01    0.19934E-04    0.13639E+01    0.87103E-01   -0.24332E-07    0.19934E-04   -0.24332E-07    0.68845E-10
    46    0.13882E+04    0.12335E+01    0.19104E-04    0.12335E+01    0.93614E-01   -0.23881E-07    0.19104E-04   -0.23881E-07    0.65710E-10
    47    0.14083E+04    0.10921E+01    0.18319E-04    0.10921E+01    0.10041E+00   -0.23446E-07    0.18319E-04   -0.23446E-07    0.62764E-10
    48    0.14286E+04    0.93777E+00    0.17580E-04    0.93777E+00    0.10751E+00   -0.23164E-07    0.17580E-04   -0.23164E-07    0.59995E-10
    49    0.14492E+04    0.76913E+00    0.16885E-04    0.76913E+00    0.11490E+00   -0.23131E-07    0.16885E-04   -0.23131E-07    0.57386E-10
    50    0.14700E+04    0.58722E+00    0.16230E-04    0.58722E+00    0.12260E+00   -0.23149E-07    0.16230E-04   -0.23149E-07    0.54927E-10
    51    0.14908E+04    0.39330E+00    0.15606E-04    0.39330E+00    0.13061E+00   -0.23016E-07    0.15606E-04   -0.23016E-07    0.52608E-10
    52    0.15120E+04    0.18585E+00    0.15015E-04    0.18585E+00    0.13890E+00   -0.22785E-07    0.15015E-04   -0.22785E-07    0.50419E-10
    53    0.15335E+04   -0.36737E-01    0.14458E-04   -0.36737E-01    0.14752E+00   -0.22557E-07    0.14458E-04   -0.22557E-07    0.48349E-10
    54    0.15550E+04   -0.27305E+00    0.13930E-04   -0.27305E+00    0.15643E+00   -0.22376E-07    0.13930E-04   -0.22376E-07    0.46391E-10
    55    0.15766E+04   -0.52171E+00    0.13429E-04   -0.52171E+00    0.16564E+00   -0.22240E-07    0.13429E-04   -0.22240E-07    0.44537E-10
    56    0.15985E+04   -0.78410E+00    0.12951E-04   -0.78410E+00    0.17516E+00   -0.22045E-07    0.12951E-04   -0.22045E-07    0.42780E-10
    57    0.16207E+04   -0.10618E+01    0.12498E-04   -0.10618E+01    0.18497E+00   -0.21713E-07    0.12498E-04   -0.21713E-07    0.41114E-10
    58    0.16432E+04   -0.13537E+01    0.12066E-04   -0.13537E+01    0.19510E+00   -0.21372E-07    0.12066E-04   -0.21372E-07    0.39534E-10
    59    0.16657E+04   -0.16585E+01    0.11655E-04   -0.16585E+01    0.20553E+00   -0.21157E-07    0.11655E-04   -0.21157E-07    0.38033E-10
    60    0.16883E+04   -0.19752E+01    0.11263E-04   -0.19752E+01    0.21622E+00   -0.21021E-07    0.11263E-04   -0.21021E-07    0.36606E-10
    61    0.17115E+04   -0.23032E+01    0.10889E-04   -0.23032E+01    0.22720E+00   -0.20887E-07    0.10889E-04   -0.20887E-07    0.35248E-10
    62    0.17347E+04   -0.26440E+01    0.10533E-04   -0.26440E+01    0.23845E+00   -0.20742E-07    0.10533E-04   -0.20742E-07    0.33956E-10
    63    0.17580E+04   -0.29992E+01    0.10193E-04   -0.29992E+01    0.24997E+00   -0.20588E-07    0.10193E-04   -0.20588E-07    0.32726E-10
    64    0.17817E+04   -0.33708E+01    0.98683E-05   -0.33708E+01    0.26181E+00   -0.20425E-07    0.98683E-05   -0.20425E-07    0.31554E-10
    65    0.18055E+04   -0.37600E+01    0.95585E-05   -0.37600E+01    0.27397E+00   -0.20256E-07    0.95585E-05   -0.20256E-07    0.30438E-10
    66    0.18296E+04   -0.41654E+01    0.92624E-05   -0.41654E+01    0.28641E+00   -0.20083E-07    0.92624E-05   -0.20083E-07    0.29373E-10
    67    0.18538E+04   -0.45849E+01    0.89791E-05   -0.45849E+01    0.29912E+00   -0.19906E-07    0.89791E-05   -0.19906E-07    0.28357E-10
    68    0.18783E+04   -0.50168E+01    0.87077E-05   -0.50168E+01    0.31212E+00   -0.19727E-07    0.87077E-05   -0.19727E-07    0.27386E-10
    69    0.19031E+04   -0.54583E+01    0.84476E-05   -0.54583E+01    0.32533E+00   -0.19548E-07    0.84476E-05   -0.19548E-07    0.26457E-10
    70    0.19282E+04   -0.59099E+01    0.81982E-05   -0.59099E+01    0.33878E+00   -0.19368E-07    0.81982E-05   -0.19368E-07    0.25569E-10
    71    0.19536E+04   -0.63727E+01    0.79591E-05   -0.63727E+01    0.35242E+00   -0.19189E-07    0.79591E-05   -0.19189E-07    0.24720E-10
    72    0.19791E+04   -0.68480E+01    0.77297E-05   -0.68480E+01    0.36626E+00   -0.19011E-07    0.77297E-05   -0.19011E-07    0.23908E-10
    73    0.20048E+04   -0.73366E+01    0.75095E-05   -0.73366E+01    0.38026E+00   -0.18835E-07    0.75095E-05   -0.18835E-07    0.23131E-10
    74    0.20307E+04   -0.78376E+01    0.72979E-05   -0.78376E+01    0.39445E+00   -0.18661E-07    0.72979E-05   -0.18661E-07    0.22386E-10
    75    0.20569E+04   -0.83498E+01    0.70945E-05   -0.83498E+01    0.40884E+00   -0.18490E-07    0.70945E-05   -0.18490E-07    0.21671E-10
    76    0.20833E+04   -0.88735E+01    0.68990E-05   -0.88735E+01    0.42345E+00   -0.18322E-07    0.68990E-05   -0.18322E-07    0.20986E-10
    77    0.21099E+04   -0.94086E+01    0.67109E-05   -0.94086E+01    0.43827E+00   -0.18154E-07    0.67109E-05   -0.18154E-07    0.20329E-10
    78    0.21369E+04   -0.99562E+01    0.65299E-05   -0.99562E+01    0.45332E+00   -0.17988E-07    0.65299E-05   -0.17988E-07    0.19699E-10
    79    0.21640E+04   -0.10512E+02    0.63558E-05   -0.10512E+02    0.46853E+00   -0.17821E-07    0.63558E-05   -0.17821E-07    0.19094E-10
    80    0.21915E+04   -0.11078E+02    0.61882E-05   -0.11078E+02    0.48389E+00   -0.17654E-07    0.61882E-05   -0.17654E-07    0.18513E-10
    81    0.22191E+04   -0.11654E+02    0.60268E-05   -0.11654E+02    0.49934E+00   -0.17485E-07    0.60268E-05   -0.17485E-07    0.17954E-10
    82    0.22471E+04   -0.12240E+02    0.58713E-05   -0.12240E+02    0.51491E+00   -0.17314E-07    0.58713E-05   -0.17314E-07    0.17417E-10
    83    0.22753E+04   -0.12836E+02    0.57214E-05   -0.12836E+02    0.53058E+00   -0.17141E-07    0.57214E-05   -0.17141E-07    0.16901E-10
    84    0.23038E+04   -0.13440E+02    0.55768E-05   -0.13440E+02    0.54634E+00   -0.16967E-07    0.55768E-05   -0.16967E-07    0.16404E-10
    85    0.23324E+04   -0.14053E+02    0.54374E-05   -0.14053E+02    0.56216E+00   -0.16794E-07    0.54374E-05   -0.16794E-07    0.15926E-10
    86    0.23613E+04   -0.14674E+02    0.53030E-05   -0.14674E+02    0.57806E+00   -0.16621E-07    0.53030E-05   -0.16621E-07    0.15466E-10
    87    0.23907E+04   -0.15303E+02    0.51732E-05   -0.15303E+02    0.59402E+00   -0.16451E-07    0.51732E-05   -0.16451E-07    0.15023E-10
    88    0.24200E+04   -0.15938E+02    0.50478E-05   -0.15938E+02    0.61003E+00   -0.16283E-07    0.50478E-05   -0.16283E-07    0.14597E-10
    89    0.24497E+04   -0.16582E+02    0.49267E-05   -0.16582E+02    0.62608E+00   -0.16119E-07    0.49267E-05   -0.16119E-07    0.14186E-10
    90    0.24797E+04   -0.17231E+02    0.48095E-05   -0.17231E+02    0.64214E+00   -0.15959E-07    0.48095E-05   -0.15959E-07    0.13790E-10
    91    0.25098E+04   -0.17885E+02    0.46962E-05   -0.17885E+02    0.65819E+00   -0.15803E-07    0.46962E-05   -0.15803E-07    0.13408E-10
    92    0.25402E+04   -0.18545E+02    0.45866E-05   -0.18545E+02    0.67423E+00   -0.15650E-07    0.45866E-05   -0.15650E-07    0.13039E-10
    93    0.25709E+04   -0.19209E+02    0.44804E-05   -0.19209E+02    0.69024E+00   -0.15501E-07    0.44804E-05   -0.15501E-07    0.12684E-10
    94    0.26018E+04   -0.19877E+02    0.43777E-05   -0.19877E+02    0.70619E+00   -0.15353E-07    0.43777E-05   -0.15353E-07    0.12341E-10
    95    0.26329E+04   -0.20550E+02    0.42783E-05   -0.20550E+02    0.72208E+00   -0.15208E-07    0.42783E-05   -0.15208E-07    0.12010E-10
