30,1.715,-2.610,0.1658,-0.509
44,1.558,-3.000,0.1223,-0.656
70,1.406,-3.231,0.0967,-0.754
100,1.290,-3.307,0.0829,-0.966
143,1.240,-3.293,0.0948,-0.769
217,1.204,-3.173,0.1152,-0.479
353,1.118,-3.035,0.1222,-0.410
545,1.094,-1.639,0.2154,-0.198
857,0.991,-1.012,0.2999,-0.161
