    15    0.77520E+03    0.99955E+00    0.12036E-03    0.43243E-02    0.11446E+00    0.99955E+00    0.40575E-02    0.33756E-07    0.39628E-06    0.13294E-04    0.12036E-03    0.33756E-07    0.48642E-09    0.18582E-07    0.39936E-06    0.43243E-02    0.39628E-06    0.18582E-07    0.13900E-05    0.22539E-04    0.11446E+00    0.13294E-04    0.39936E-06    0.22539E-04    0.24241E-02
    16    0.78357E+03    0.10590E+01    0.10936E-03    0.43134E-02    0.11659E+00    0.10590E+01    0.39704E-02   -0.35278E-07    0.37836E-06    0.11644E-04    0.10936E-03   -0.35278E-07    0.43712E-09    0.18350E-07    0.40493E-06    0.43134E-02    0.37836E-06    0.18350E-07    0.15404E-05    0.25762E-04    0.11659E+00    0.11644E-04    0.40493E-06    0.25762E-04    0.26860E-02
    17    0.79309E+03    0.11225E+01    0.99789E-04    0.42938E-02    0.11834E+00    0.11225E+01    0.41953E-02   -0.81707E-07    0.33665E-06    0.93027E-05    0.99789E-04   -0.81707E-07    0.39490E-09    0.18099E-07    0.40935E-06    0.42938E-02    0.33665E-06    0.18099E-07    0.16932E-05    0.29158E-04    0.11834E+00    0.93027E-05    0.40935E-06    0.29158E-04    0.29606E-02
    18    0.80287E+03    0.11826E+01    0.91410E-04    0.42656E-02    0.11965E+00    0.11826E+01    0.45362E-02   -0.10355E-06    0.30281E-06    0.78300E-05    0.91410E-04   -0.10355E-06    0.35842E-09    0.17834E-07    0.41271E-06    0.42656E-02    0.30281E-06    0.17834E-07    0.18479E-05    0.32713E-04    0.11965E+00    0.78300E-05    0.41271E-06    0.32713E-04    0.32471E-02
    19    0.81412E+03    0.12383E+01    0.84021E-04    0.42301E-02    0.12059E+00    0.12383E+01    0.49250E-02   -0.10461E-06    0.30483E-06    0.85441E-05    0.84021E-04   -0.10461E-06    0.32669E-09    0.17557E-07    0.41505E-06    0.42301E-02    0.30483E-06    0.17557E-07    0.20040E-05    0.36409E-04    0.12059E+00    0.85441E-05    0.41505E-06    0.36409E-04    0.35441E-02
    20    0.82553E+03    0.12875E+01    0.77455E-04    0.41891E-02    0.12124E+00    0.12875E+01    0.53897E-02   -0.90534E-07    0.34993E-06    0.11626E-04    0.77455E-04   -0.90534E-07    0.29886E-09    0.17269E-07    0.41643E-06    0.41891E-02    0.34993E-06    0.17269E-07    0.21609E-05    0.40229E-04    0.12124E+00    0.11626E-04    0.41643E-06    0.40229E-04    0.38505E-02
    21    0.83733E+03    0.13324E+01    0.71603E-04    0.41442E-02    0.12167E+00    0.13324E+01    0.59477E-02   -0.68703E-07    0.36588E-06    0.12944E-04    0.71603E-04   -0.68703E-07    0.27435E-09    0.16976E-07    0.41693E-06    0.41442E-02    0.36588E-06    0.16976E-07    0.23183E-05    0.44159E-04    0.12167E+00    0.12944E-04    0.41693E-06    0.44159E-04    0.41652E-02
    22    0.84957E+03    0.13749E+01    0.66378E-04    0.40965E-02    0.12189E+00    0.13749E+01    0.66897E-02   -0.46047E-07    0.29673E-06    0.92610E-05    0.66378E-04   -0.46047E-07    0.25265E-09    0.16679E-07    0.41667E-06    0.40965E-02    0.29673E-06    0.16679E-07    0.24761E-05    0.48186E-04    0.12189E+00    0.92610E-05    0.41667E-06    0.48186E-04    0.44872E-02
    23    0.86208E+03    0.14175E+01    0.61692E-04    0.40454E-02    0.12186E+00    0.14175E+01    0.76507E-02   -0.26080E-07    0.23141E-06    0.52152E-05    0.61692E-04   -0.26080E-07    0.23335E-09    0.16381E-07    0.41570E-06    0.40454E-02    0.23141E-06    0.16381E-07    0.26340E-05    0.52294E-04    0.12186E+00    0.52152E-05    0.41570E-06    0.52294E-04    0.48154E-02
    24    0.87493E+03    0.14622E+01    0.57465E-04    0.39906E-02    0.12156E+00    0.14622E+01    0.88136E-02   -0.11211E-07    0.25707E-06    0.56015E-05    0.57465E-04   -0.11211E-07    0.21609E-09    0.16081E-07    0.41405E-06    0.39906E-02    0.25707E-06    0.16081E-07    0.27915E-05    0.56467E-04    0.12156E+00    0.56015E-05    0.41405E-06    0.56467E-04    0.51485E-02
    25    0.88813E+03    0.15094E+01    0.53646E-04    0.39337E-02    0.12104E+00    0.15094E+01    0.10180E-01   -0.28463E-08    0.30915E-06    0.79563E-05    0.53646E-04   -0.28463E-08    0.20059E-09    0.15782E-07    0.41179E-06    0.39337E-02    0.30915E-06    0.15782E-07    0.29486E-05    0.60688E-04    0.12104E+00    0.79563E-05    0.41179E-06    0.60688E-04    0.54853E-02
    26    0.90151E+03    0.15599E+01    0.50192E-04    0.38761E-02    0.12037E+00    0.15599E+01    0.11719E-01   -0.15060E-08    0.30888E-06    0.88602E-05    0.50192E-04   -0.15060E-08    0.18663E-09    0.15484E-07    0.40897E-06    0.38761E-02    0.30888E-06    0.15484E-07    0.31050E-05    0.64943E-04    0.12037E+00    0.88602E-05    0.40897E-06    0.64943E-04    0.58244E-02
